#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
328,76458,43186,Cannabis Applicant Site Verification,TACOMA,PIERCE
329,76484,44636,Cannabis Premises Check,SPOKANE (CITY),SPOKANE
330,76599,43579,Cannabis Administrative Hold Initiated,TUKWILA,KING
331,77000,43299,Cannabis Premises Check,LAKE FOREST PARK,KING
332,77000,43361,Cannabis Compliance Check-no Sale,LAKE FOREST PARK,KING
333,77000,43361,Cannabis Premises Check,LAKE FOREST PARK,KING
334,77000,43451,Cannabis Premises Check,LAKE FOREST PARK,KING
335,77000,43477,Cannabis Compliance Check-no Sale,LAKE FOREST PARK,KING
336,77000,43477,Cannabis Premises Check,LAKE FOREST PARK,KING
337,77000,43595,Cannabis Compliance Check-no Sale,LAKE FOREST PARK,KING
338,77000,43595,Cannabis Premises Check,LAKE FOREST PARK,KING
339,77259,44790,Cannabis Premises Check,PORT TOWNSEND,JEFFERSON
340,77459,42866,Cannabis Premises Check,TUMWATER,THURSTON
341,78001,42486,Cannabis Premises Check,UNINCORPORATED AREAS,SKAGIT
342,78001,42649,Cannabis Premises Check,UNINCORPORATED AREAS,SKAGIT
343,78256,43033,Cannabis Premises Check,SEATTLE,KING
344,78256,43033,Cannabis Premises Check,SEATTLE,KING
345,78256,43154,Cannabis Premises Check,SEATTLE,KING
346,78256,43182,Cannabis Premises Check,SEATTLE,KING
347,78256,43404,Cannabis Premises Check,SEATTLE,KING
348,78256,43859,Cannabis Premises Check,SEATTLE,KING
349,78256,43886,Cannabis Premises Check,SEATTLE,KING
350,78256,44417,Cannabis Premises Check,SEATTLE,KING
351,78256,44657,Cannabis Premises Check,SEATTLE,KING
352,78256,44964,Cannabis Premises Check,SEATTLE,KING
353,78256,45159,Cannabis Premises Check,SEATTLE,KING
354,78256,45358,Cannabis Premises Check,SEATTLE,KING
355,78696,43362,Cannabis Premises Check,UNINCORPORATED AREAS,SKAGIT
356,79013,42494,Cannabis Premises Check,SEATTLE,KING
357,79013,42507,Cannabis Premises Check,SEATTLE,KING
358,79013,42553,Cannabis Premises Check,SEATTLE,KING
359,79013,42647,Cannabis Compliance Check-no Sale,SEATTLE,KING
360,79013,42647,Cannabis Premises Check,SEATTLE,KING
361,79013,42688,Cannabis Compliance Check-no Sale,SEATTLE,KING
362,79013,42835,Cannabis Premises Check,SEATTLE,KING
363,79013,42857,Cannabis Premises Check,SEATTLE,KING
364,79013,42867,Cannabis Compliance Check-no Sale,SEATTLE,KING
365,79013,42881,Cannabis Premises Check,SEATTLE,KING
366,79013,42948,Cannabis Premises Check,SEATTLE,KING
367,79013,42961,Cannabis Premises Check,SEATTLE,KING
368,79013,42964,Cannabis Compliance Check-no Sale,SEATTLE,KING
369,79013,43082,Cannabis Compliance Check-Sale,SEATTLE,KING
370,79013,43082,Cannabis Premises Check,SEATTLE,KING
371,79013,43087,Cannabis Premises Check,SEATTLE,KING
372,79013,43096,Cannabis Premises Check,SEATTLE,KING
373,79013,43206,Cannabis Compliance Check-no Sale,SEATTLE,KING
374,79013,43206,Cannabis Premises Check,SEATTLE,KING
375,79013,43299,Cannabis Compliance Check-no Sale,SEATTLE,KING
376,79013,43299,Cannabis Premises Check,SEATTLE,KING
377,79013,43452,Cannabis Compliance Check-no Sale,SEATTLE,KING
378,79013,43452,Cannabis Premises Check,SEATTLE,KING
379,79013,43605,Cannabis Compliance Check-no Sale,SEATTLE,KING
380,79013,43760,Cannabis Compliance Check-no Sale,SEATTLE,KING
381,79013,43766,Cannabis Premises Check,SEATTLE,KING
382,79013,44312,Cannabis Premises Check,SEATTLE,KING
383,79013,44321,Cannabis Premises Check,SEATTLE,KING
384,79013,44523,Cannabis Premises Check,SEATTLE,KING
385,79013,44635,Cannabis Premises Check,SEATTLE,KING
386,79013,44713,Cannabis Compliance Check-no Sale,SEATTLE,KING
387,79013,44713,Cannabis Premises Check,SEATTLE,KING
388,79013,44901,Cannabis Compliance Check-no Sale,SEATTLE,KING
389,79013,44901,Cannabis Premises Check,SEATTLE,KING
390,79013,45084,Cannabis Compliance Check-no Sale,SEATTLE,KING
391,79013,45231,Cannabis Premises Check,SEATTLE,KING
392,79013,45355,Cannabis Premises Check,SEATTLE,KING
393,79013,45385,Cannabis Premises Check,SEATTLE,KING
394,79013,45404,Cannabis Premises Check,SEATTLE,KING
395,79013,45428,Cannabis Compliance Check-no Sale,SEATTLE,KING
396,79013,45428,Cannabis Premises Check,SEATTLE,KING
397,79350,43741,Cannabis Premises Check,SEATTLE,KING
398,79350,43788,Cannabis Premises Check,SEATTLE,KING
399,79350,43844,Cannabis Compliance Check-no Sale,SEATTLE,KING
400,79350,43844,Cannabis Premises Check,SEATTLE,KING
401,79350,43847,Cannabis Premises Check,SEATTLE,KING
402,79429,44785,Cannabis Applicant Site Verification,WENATCHEE,CHELAN
403,79563,43195,Cannabis Premises Check,UNINCORPORATED AREAS,KING
404,79604,45209,Cannabis Premises Check,VANCOUVER,CLARK
405,79720,42865,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
406,79720,42895,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
407,79720,42928,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
408,79720,43005,Cannabis Compliance Check-Sale,UNINCORP. AREAS,KITSAP
409,79720,43006,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
410,79720,43011,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
411,79720,43067,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
412,79720,43081,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
413,79720,43089,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
414,79720,43105,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
415,79720,43119,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
416,79720,43153,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
417,79720,43155,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
418,79720,43182,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
419,79720,43194,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
420,79720,43201,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
421,79720,43210,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
422,79720,43221,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
423,79720,43320,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
424,79720,43320,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
425,79720,43398,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
426,79720,43413,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
427,79720,43413,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
428,79720,43467,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
429,79720,43517,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
430,79720,43561,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
431,79720,43586,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
432,79720,43636,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
433,79720,43691,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
434,79720,43691,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
435,79720,43712,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
436,79720,43783,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
437,79720,44000,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
438,79720,44046,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
439,79720,44356,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
440,79720,44474,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
441,79720,44540,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
442,79720,44680,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
443,79720,44756,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
444,79720,44908,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
445,79720,44908,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
446,79720,44938,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
447,79720,45080,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
448,79720,45167,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
449,79720,45262,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
450,79720,45262,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
